Angulo_Rad,Radio_mm,Campo_mT
0.0,0.0,26.62
0.08726646259971647,0.0,26.57
0.17453292519943295,0.0,26.52
0.2617993877991494,0.0,26.47
0.3490658503988659,0.0,26.52
0.4363323129985824,0.0,26.47
0.5235987755982988,0.0,26.42
0.6108652381980153,0.0,26.42
0.6981317007977318,0.0,26.32
0.7853981633974483,0.0,26.32
0.8726646259971648,0.0,26.32
0.9599310885968813,0.0,26.28
1.0471975511965976,0.0,26.23
1.1344640137963142,0.0,26.18
1.2217304763960306,0.0,26.18
1.3089969389957472,0.0,26.13
1.3962634015954636,0.0,26.13
1.4835298641951802,0.0,26.13
1.5707963267948966,0.0,26.13
1.6580627893946132,0.0,26.13
1.7453292519943295,0.0,26.08
1.8325957145940461,0.0,26.13
1.9198621771937625,0.0,26.08
2.007128639793479,0.0,26.08
2.0943951023931953,0.0,26.13
2.181661564992912,0.0,26.18
2.2689280275926285,0.0,26.13
2.356194490192345,0.0,26.13
2.443460952792061,0.0,26.18
2.530727415391778,0.0,26.18
2.6179938779914944,0.0,26.23
2.705260340591211,0.0,26.23
2.792526803190927,0.0,26.28
2.8797932657906435,0.0,26.37
2.9670597283903604,0.0,26.42
3.0543261909900767,0.0,26.42
3.141592653589793,0.0,26.37
3.2288591161895095,0.0,26.42
3.3161255787892263,0.0,26.47
3.4033920413889427,0.0,26.52
3.490658503988659,0.0,26.47
3.5779249665883754,0.0,26.52
3.6651914291880923,0.0,26.52
3.7524578917878086,0.0,26.57
3.839724354387525,0.0,26.57
3.9269908169872414,0.0,26.57
4.014257279586958,0.0,26.52
4.101523742186674,0.0,26.62
4.1887902047863905,0.0,26.57
4.276056667386108,0.0,26.62
4.363323129985824,0.0,26.62
4.4505895925855405,0.0,26.62
4.537856055185257,0.0,26.67
4.625122517784973,0.0,26.72
4.71238898038469,0.0,26.67
4.799655442984406,0.0,26.67
4.886921905584122,0.0,26.76
4.974188368183839,0.0,26.76
5.061454830783556,0.0,26.72
5.1487212933832724,0.0,26.72
5.235987755982989,0.0,26.76
5.323254218582705,0.0,26.76
5.410520681182422,0.0,26.72
5.497787143782138,0.0,26.72
5.585053606381854,0.0,26.67
5.672320068981571,0.0,26.67
5.759586531581287,0.0,26.67
5.846852994181004,0.0,26.62
5.934119456780721,0.0,26.62
6.021385919380437,0.0,26.62
6.1086523819801535,0.0,26.62
6.19591884457987,0.0,26.57
0.0,2.0,27.59
0.08726646259971647,2.0,27.5
0.17453292519943295,2.0,27.3
0.2617993877991494,2.0,27.3
0.3490658503988659,2.0,27.16
0.4363323129985824,2.0,27.01
0.5235987755982988,2.0,26.86
0.6108652381980153,2.0,26.81
0.6981317007977318,2.0,26.72
0.7853981633974483,2.0,26.57
0.8726646259971648,2.0,26.52
0.9599310885968813,2.0,26.42
1.0471975511965976,2.0,26.23
1.1344640137963142,2.0,26.18
1.2217304763960306,2.0,26.03
1.3089969389957472,2.0,25.89
1.3962634015954636,2.0,25.84
1.4835298641951802,2.0,25.74
1.5707963267948966,2.0,25.69
1.6580627893946132,2.0,25.54
1.7453292519943295,2.0,25.45
1.8325957145940461,2.0,25.45
1.9198621771937625,2.0,25.35
2.007128639793479,2.0,25.3
2.0943951023931953,2.0,25.25
2.181661564992912,2.0,25.3
2.2689280275926285,2.0,25.15
2.356194490192345,2.0,25.25
2.443460952792061,2.0,25.3
2.530727415391778,2.0,25.25
2.6179938779914944,2.0,25.3
2.705260340591211,2.0,25.4
2.792526803190927,2.0,25.49
2.8797932657906435,2.0,25.49
2.9670597283903604,2.0,25.69
3.0543261909900767,2.0,25.79
3.141592653589793,2.0,25.79
3.2288591161895095,2.0,25.89
3.3161255787892263,2.0,25.93
3.4033920413889427,2.0,26.08
3.490658503988659,2.0,26.23
3.5779249665883754,2.0,26.52
3.6651914291880923,2.0,26.52
3.7524578917878086,2.0,26.52
3.839724354387525,2.0,26.62
3.9269908169872414,2.0,26.72
4.014257279586958,2.0,26.81
4.101523742186674,2.0,26.86
4.1887902047863905,2.0,27.11
4.276056667386108,2.0,27.2
4.363323129985824,2.0,27.25
4.4505895925855405,2.0,27.4
4.537856055185257,2.0,27.5
4.625122517784973,2.0,27.59
4.71238898038469,2.0,27.64
4.799655442984406,2.0,27.79
4.886921905584122,2.0,27.69
4.974188368183839,2.0,27.79
5.061454830783556,2.0,27.94
5.1487212933832724,2.0,27.99
5.235987755982989,2.0,28.08
5.323254218582705,2.0,28.03
5.410520681182422,2.0,28.08
5.497787143782138,2.0,28.08
5.585053606381854,2.0,28.03
5.672320068981571,2.0,28.08
5.759586531581287,2.0,28.03
5.846852994181004,2.0,27.99
5.934119456780721,2.0,27.99
6.021385919380437,2.0,27.84
6.1086523819801535,2.0,27.79
6.19591884457987,2.0,27.74
0.0,4.0,23.25
0.08726646259971647,4.0,22.95
0.17453292519943295,4.0,22.71
0.2617993877991494,4.0,22.47
0.3490658503988659,4.0,22.32
0.4363323129985824,4.0,22.17
0.5235987755982988,4.0,21.88
0.6108652381980153,4.0,21.73
0.6981317007977318,4.0,21.73
0.7853981633974483,4.0,21.39
0.8726646259971648,4.0,21.2
0.9599310885968813,4.0,21.05
1.0471975511965976,4.0,20.81
1.1344640137963142,4.0,20.46
1.2217304763960306,4.0,20.37
1.3089969389957472,4.0,20.17
1.3962634015954636,4.0,19.98
1.4835298641951802,4.0,19.68
1.5707963267948966,4.0,19.54
1.6580627893946132,4.0,19.34
1.7453292519943295,4.0,19.05
1.8325957145940461,4.0,18.95
1.9198621771937625,4.0,18.75
2.007128639793479,4.0,18.75
2.0943951023931953,4.0,18.66
2.181661564992912,4.0,18.41
2.2689280275926285,4.0,18.46
2.356194490192345,4.0,18.41
2.443460952792061,4.0,18.27
2.530727415391778,4.0,18.32
2.6179938779914944,4.0,18.61
2.705260340591211,4.0,18.46
2.792526803190927,4.0,18.61
2.8797932657906435,4.0,18.8
